date,fund_id,family,method,solver_success,attempts,status_code,message,iterations,objective_value,sum_residual,lower_bound_violation,upper_bound_violation,covariance_repair,minimum_eigenvalue,retry_used,near_identical_with,near_identical_warning,near_identical_explanation
2021-06-01,combined_risk_parity,Combined,Risk Parity,True,1,0,Optimization terminated successfully,28,2.333362570909949e-13,0.0,0.0,0.0,0.0,0.006325682226190534,False,,False,
2021-07-01,equity_equal_weight,Equity,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-07-01,equity_minimum_variance,Equity,Minimum Variance,True,1,0,Optimization terminated successfully,46,0.01048013895411535,2.220446049250313e-16,0.0,0.0,0.0,0.005944259114414512,False,,False,
2021-07-01,equity_maximum_sharpe,Equity,Maximum Sharpe,True,1,0,Optimization terminated successfully,22,-4.269195506737281,1.887379141862766e-14,0.0,0.0,0.0,0.005944259114414512,False,,False,
2021-07-01,equity_risk_parity,Equity,Risk Parity,True,1,0,Optimization terminated successfully,18,8.525284067329256e-14,0.0,0.0,0.0,0.0,0.005944259114414512,False,,False,
2021-07-01,crypto_equal_weight,Crypto,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-07-01,crypto_minimum_variance,Crypto,Minimum Variance,True,1,0,Optimization terminated successfully,8,0.8847188947151011,4.440892098500626e-16,0.0,0.0,0.0,0.16711755336779974,False,,False,
2021-07-01,crypto_maximum_sharpe,Crypto,Maximum Sharpe,True,1,0,Optimization terminated successfully,6,-2.8985918496884255,6.794564910705958e-14,0.0,0.0,0.0,0.16711755336779974,False,,False,
2021-07-01,crypto_risk_parity,Crypto,Risk Parity,True,1,0,Optimization terminated successfully,14,1.2034077946771284e-13,0.0,0.0,0.0,0.0,0.16711755336779974,False,,False,
2021-07-01,combined_equal_weight,Combined,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-07-01,combined_minimum_variance,Combined,Minimum Variance,True,1,0,Optimization terminated successfully,45,0.0104085672606346,0.0,0.0,0.0,0.0,0.005726368424526333,False,,False,
2021-07-01,combined_maximum_sharpe,Combined,Maximum Sharpe,True,1,0,Optimization terminated successfully,29,-4.476204272147781,2.2803980925800715e-13,0.0,0.0,0.0,0.005726368424526333,False,,False,
2021-07-01,combined_risk_parity,Combined,Risk Parity,True,1,0,Optimization terminated successfully,28,1.4987178956605718e-12,0.0,0.0,0.0,0.0,0.005726368424526333,False,,False,
2021-08-01,crypto_equal_weight,Crypto,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-08-01,crypto_minimum_variance,Crypto,Minimum Variance,True,1,0,Optimization terminated successfully,4,0.896850647547074,3.3306690738754696e-16,0.0,0.0,0.0,0.1675348009504639,False,,False,
2021-08-01,crypto_maximum_sharpe,Crypto,Maximum Sharpe,True,1,0,Optimization terminated successfully,5,-2.5550078294691234,0.0,0.0,0.0,0.0,0.1675348009504639,False,,False,
2021-08-01,crypto_risk_parity,Crypto,Risk Parity,True,1,0,Optimization terminated successfully,14,4.169652914125509e-14,0.0,0.0,0.0,0.0,0.1675348009504639,False,,False,
2021-08-02,equity_equal_weight,Equity,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-08-02,equity_minimum_variance,Equity,Minimum Variance,True,1,0,Optimization terminated successfully,49,0.010278595608805194,2.220446049250313e-16,0.0,0.0,0.0,0.0056255317457694,False,,False,
2021-08-02,equity_maximum_sharpe,Equity,Maximum Sharpe,True,1,0,Optimization terminated successfully,20,-4.162485230830516,1.2212453270876722e-14,0.0,0.0,0.0,0.0056255317457694,False,,False,
2021-08-02,equity_risk_parity,Equity,Risk Parity,True,1,0,Optimization terminated successfully,18,9.478431138567257e-14,1.1102230246251565e-16,0.0,0.0,0.0,0.0056255317457694,False,,False,
2021-08-02,combined_equal_weight,Combined,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
